::1 - Fri May 10 2019 17:12:35 GMT+0530 (IST) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 3 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:12:35 GMT+0530 (IST) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 5 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:25 GMT+0530 (IST) - GET / HTTP/1.1 304 - - 30 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:25 GMT+0530 (IST) - GET /stylesheets/style.css HTTP/1.1 304 - - 6 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:25 GMT+0530 (IST) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 5 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:25 GMT+0530 (IST) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 2 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:25 GMT+0530 (IST) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 2 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:25 GMT+0530 (IST) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 4 http://localhost:3000/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:34 GMT+0530 (IST) - GET /ajnjv HTTP/1.1 404 - - 35 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
::1 - Fri May 10 2019 17:17:34 GMT+0530 (IST) - GET /stylesheets/style.css HTTP/1.1 304 - - 5 http://localhost:3000/ajnjv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36
